address,distance,distance_type,rating,capaciity,area,price
"Xuan Huong Lake, Da Lat",400,m,8.3,1 ,null,"400,000"
"Xuan Huong Lake, Da Lat",300,m,7.6,1 ,null,"650,000"
Da Lat,1.6,km,10,1 ,40,"552,500"
"Xuan Huong Lake, Da Lat",300,m,8.8,1 ,null,"601,400"
Da Lat,1.5,km,null,1 ,null,"2,000,000"
Da Lat,2.1,km,7.6,1 ,null,"1,200,000"
"Xuan Huong Lake, Da Lat",2.3,km,7.7,1 ,99,"1,599,000"
Da Lat,2.3,km,10,1 ,null,"750,000"
Da Lat,0.9,km,null,1 ,null,"10,000,000"
Da Lat,1.1,km,8.7,1 ,100,"1,193,400"
Da Lat,3.1,km,9.7,1 ,400,"2,550,000"
Da Lat,1.3,km,6.4,1 ,null,"610,173"
Da Lat,1.4,km,null,1 ,null,"411,000"
Da Lat,1.9,km,null,1 ,null,"352,800"
Da Lat,1.3,km,8,1 ,null,"270,000"
Da Lat,1.6,km,10,1 ,60,"1,539,000"
Da Lat,1.7,km,9,1 ,null,"324,000"
Da Lat,1,km,9.1,1 ,null,"300,000"
Da Lat,2.3,km,1,1 ,null,"1,170,000"
Da Lat,1.2,km,null,1 ,null,"1,500,000"
Da Lat,2.2,km,9.8,1 ,null,"400,000"
Da Lat,450,m,null,1 ,null,"550,000"
"Xuan Huong Lake, Da Lat",250,m,8.2,1 ,30,"600,000"
Da Lat,2.1,km,9.7,1 ,null,"400,000"
Da Lat,8.6,km,8,1 ,null,"825,000"
Da Lat,1,km,9.5,1 ,null,"810,000"
"Xuan Huong Lake, Da Lat",350,m,8.4,1 ,25,"1,053,000"
Da Lat,4.7,km,9.5,1 ,null,"670,000"
Da Lat,1.5,km,10,1 ,null,"315,000"
Da Lat,0.8,km,null,1 ,null,"509,400"
Da Lat,1.4,km,null,1 ,null,"680,000"
"Xuan Huong Lake, Da Lat",400,m,null,1 ,null,"405,406"
Da Lat,3.9,km,6.7,1 ,null,"280,000"
"Xuan Huong Lake, Da Lat",0.7,km,8.7,1 ,null,"297,540"
Da Lat,1,km,8,1 ,null,"315,000"
Da Lat,2.6,km,8,1 ,null,"315,000"
Da Lat,1.4,km,null,1 ,60,"900,000"
Da Lat,1.5,km,8.5,1 ,null,"5,000,000"
Da Lat,1.5,km,8.5,1 ,null,"315,000"
Da Lat,8.3,km,10,1 ,20,"630,000"
Da Lat,1.7,km,10,1 ,120,"1,200,000"
Da Lat,1.3,km,9.2,1 ,25,"360,000"
Da Lat,1.4,km,9.1,1 ,null,"250,000"
Da Lat,1.3,km,10,1 ,40,"1,200,000"
Da Lat,2.8,km,1,1 ,150,"1,000,000"
Da Lat,1.9,km,null,1 ,null,"4,900,000"
Da Lat,2.1,km,9.3,1 ,null,"250,000"
Da Lat,2.8,km,8.8,1 ,30,"720,000"
"Xuan Huong Lake, Da Lat",0.5,km,7,1 ,null,"370,000"
Da Lat,0.9,km,null,1 ,null,"315,000"
Da Lat,0.9,km,null,1 ,null,"19,000,000"
Da Lat,9.6,km,8.9,1 ,null,"388,800"
Da Lat,0.9,km,8.8,1 ,null,"200,000"
"Xuan Huong Lake, Da Lat",2.1,km,8.2,1 ,null,"384,750"
Da Lat,2,km,10,1 ,null,"350,000"
Da Lat,0.7,km,10,1 ,null,"360,000"
Da Lat,3,km,10,1 ,null,"6,500,000"
"Xuan Huong Lake, Da Lat",0.8,km,8,1 ,25,"440,000"
"Xuan Huong Lake, Da Lat",350,m,null,1 ,null,"400,000"
"Xuan Huong Lake, Da Lat",0.5,km,8.5,1 ,null,"1,200,000"
"Xuan Huong Lake, Da Lat",400,m,8.3,1 ,null,"247,500"
Da Lat,1,km,9.2,1 ,null,"320,000"
"Xuan Huong Lake, Da Lat",0.8,km,9,1 ,null,"360,000"
Da Lat,0.8,km,9.4,1 ,160,"1,750,000"
"Xuan Huong Lake, Da Lat",0.7,km,10,1 ,25,"959,000"
Da Lat,0.7,km,9,1 ,null,"1,105,000"
Da Lat,0.9,km,6.9,1 ,null,"1,350,000"
Da Lat,0.8,km,8.5,1 ,null,"343,850"
Da Lat,1,km,8.5,1 ,null,"300,000"
"Tuyen Lam Lake, Da Lat",6.4,km,8.2,1 ,null,"3,240,000"
Da Lat,1.2,km,null,1 ,192,"1,440,000"
Da Lat,2.1,km,9,1 ,130,"1,101,600"
Da Lat,6.1,km,9.7,1 ,null,"306,000"
Da Lat,0.5,km,8.8,1 ,80,"1,980,000"
Da Lat,0.7,km,8.3,1 ,null,"850,000"
Da Lat,1.5,km,null,1 ,null,"3,200,000"
Da Lat,1.1,km,5,1 ,null,"226,799"
Da Lat,1.9,km,9.4,1 ,null,"400,000"
Da Lat,1.4,km,null,1 ,null,"408,240"
Da Lat,1.4,km,8.7,1 ,null,"526,500"
Da Lat,0.6,km,6.6,1 ,null,"191,250"
"Xuan Huong Lake, Da Lat",2.8,km,9.5,1 ,null,"420,000"
"Xuan Huong Lake, Da Lat",350,m,10,1 ,null,"1,237,000"
"Xuan Huong Lake, Da Lat",200,m,8.2,1 ,null,"1,115,764"
Da Lat,3,km,7.4,1 ,null,"4,300,000"
"Xuan Huong Lake, Da Lat",1.6,km,8,1 ,null,"450,000"
Da Lat,1.6,km,9.8,1 ,null,"526,902"
Da Lat,1.2,km,8.7,1 ,null,"382,500"
Da Lat,5,km,7,1 ,null,"145,530"
"Xuan Huong Lake, Da Lat",400,m,7.2,1 ,null,"1,143,675"
Da Lat,2.1,km,8.2,1 ,null,"1,035,000"
"Xuan Huong Lake, Da Lat",500,m,6.6,1 ,null,"785,220"
Da Lat,1.6,km,8.9,1 ,null,"1,026,000"
"Xuan Huong Lake, Da Lat",0.8,km,null,1 ,null,"405,000"
"Xuan Huong Lake, Da Lat",350,m,8.5,1 ,null,"314,928"
