address,distance,distance_type,rating,capaciity,area,price
dalat,1100,km,88,5,100,1428000
dalat,1800,km,100,5,150,3385800
dalat,1900,km,92,5,250,1100000
dalat,3900,km,91,5,120,3285360
dalat,1800,km,77,5,110,4235400
dalat,3200,km,100,5,250,5100000
dalat,1100,km,80,5,160,2125000
dalat,1300,km,100,5,40,1200000
dalat,1300,km,95,5,87,3400000
dalat,1600,km,100,5,60,1539000
dalat,600,km,88,5,100,2551500
dalat,1400,km,88,5,400,2400000
dalat,1800,km,97,5,100,1316250
dalat,1400,km,94,5,140,1440000
dalat,700,km,98,5,90,1539000
dalat,3200,km,83,5,60,4680000
dalat,2000,km,86,5,130,1506600
dalat,1400,km,60,5,280,2240000
dalat,1500,km,96,5,300,4275000
dalat,2200,km,80,5,48,1520000
dalat,1100,km,100,5,220,1487500
dalat,2800,km,67,5,200,2500000
dalat,1300,km,10,5,150,467500
dalat,1600,km,85,5,35,1246667
dalat,600,km,90,5,150,1425000
dalat,1900,km,70,5,300,5260000
dalat,1500,km,90,5,225,4500000
dalat,2100,km,90,5,131,1275750
dalat,1300,km,100,5,300,1570800
dalat,6400,km,84,5,120,8541000
dalat,2200,km,100,5,100,1656000
dalat,1000,km,91,5,135,3600000
dalat,300,m,86,5,101,2850000
dalat,900,km,98,5,120,3325000
dalat,5300,km,82,5,160,12550781
dalat,900,km,80,5,79,750000
dalat,1500,km,45,5,300,1800000
dalat,2100,km,86,5,134,976500
dalat,2300,km,88,5,350,3672000
dalat,2100,km,87,5,130,986000
dalat,700,km,100,5,207,4573000
dalat,2500,km,90,5,70,1413810
dalat,2100,km,90,5,130,1377000
dalat,1400,km,95,5,100,2187000
dalat,2200,km,80,5,250,1500000
dalat,2000,km,96,5,45,700000
dalat,900,km,87,5,200,3328000
dalat,300,m,76,5,120,3000000
dalat,2100,km,78,5,130,855000
dalat,2000,km,90,5,130,793800
dalat,5300,km,82,5,160,10805625
dalat,2800,km,80,5,400,4499999
dalat,1700,km,100,5,120,1200000
dalat,1700,km,100,5,200,1350000
dalat,250,m,83,5,100,1620000
dalat,3600,km,82,5,50,1500000
dalat,500,km,88,5,80,1080000
dalat,1300,km,96,5,38,1440000
dalat,200,m,82,5,90,7175160
dalat,1500,km,89,5,240,2850000
dalat,1400,km,94,5,150,2154600
dalat,1400,km,100,5,200,4879000
dalat,1300,km,10,5,150,467500
dalat,700,km,98,5,90,1539000
dalat,2200,km,78,5,55,1296750
dalat,700,km,94,5,120,2305928
dalat,3000,km,10,5,15,918000
dalat,600,km,90,5,60,3555000
dalat,1100,km,86,5,75,2800000
dalat,1400,km,100,5,210,1457271
dalat,2200,km,78,5,55,1296750
dalat,1500,km,89,5,240,2850000
dalat,1700,km,100,5,200,1350000
danang,3100,km,93,1,44,1032750
danang,3200,km,87,1,300,4000000
danang,5000,km,97,1,400,9500000
danang,10000,km,100,1,220,8500000
danang,3300,km,87,1,400,5850000
danang,7800,km,55,1,350,12000000
danang,11700,km,100,1,318,5123383
danang,2200,km,85,1,300,4500000
danang,12400,km,100,1,80,3135000
danang,3900,km,100,1,500,13241905
danang,3000,km,89,1,400,8550000
danang,2500,km,80,1,33,550000
danang,5900,km,100,1,360,10000000
danang,3000,km,90,1,130,3800000
danang,11700,km,70,1,900,9000000
danang,12400,km,50,1,54,1520352
danang,2800,km,91,1,140,2065500
danang,3400,km,79,1,70,2400000
danang,2800,km,100,1,210,3333333
