address,distance,rating,capaciity,area,price
dalat,300,54,1,,859000
dalat,300,43,2,,859000
dalat,2000,73,1,,853943
dalat,2000,73,2,,853943
dalat,2000,86,1,130,850500
dalat,700,83,1,,850000
dalat,1400,70,1,,850000
dalat,600,81,1,,850000
dalat,1400,40,1,,850000
dalat,700,83,2,,850000
dalat,2000,40,2,,850000
dalat,1400,85,2,,850000
dalat,1400,57,2,,850000
dalat,4300,90,2,,848730
dalat,1000,31,1,,840000
dalat,1900,70,1,,840000
dalat,3000,69,1,,832000
dalat,350,68,1,,832000
dalat,3000,68,1,,832000
dalat,350,43,1,,832000
dalat,8600,80,1,,825000
dalat,2000,40,1,,816000
dalat,2700,32,2,30,816000
dalat,2100,87,2,130,816000
dalat,1000,95,1,,810000
dalat,250,91,2,,807500
dalat,150,89,1,,806400
dalat,150,35,1,,806400
dalat,350,85,2,30,804000
dalat,1900,93,1,,801414
dalat,1900,93,2,,801414
dalat,10800,91,2,,801000
dalat,600,83,1,,800000
dalat,1700,10,1,,800000
dalat,2700,80,1,,800000
dalat,1600,83,1,,800000
dalat,600,83,2,,800000
dalat,1700,10,2,,800000
dalat,2700,80,2,,800000
dalat,3000,100,2,,800000
dalat,3000,100,2,,800000
dalat,4200,72,2,50,798000
dalat,4200,68,2,50,798000
dalat,900,86,1,,797000
dalat,900,86,2,,797000
dalat,1900,10,1,,792000
dalat,4100,88,2,,790000
dalat,1800,82,1,,787500
dalat,500,66,1,,785220
dalat,500,66,2,,785220
dalat,1100,86,1,13,780000
dalat,1100,86,1,13,780000
dalat,1100,86,2,13,780000
dalat,1100,86,2,13,780000
dalat,2100,86,2,134,775000
dalat,900,84,1,,771120
dalat,2100,78,2,130,769500
dalat,2700,81,1,30,768000
dalat,1800,87,1,,765000
dalat,2300,58,1,,765000
dalat,1800,87,2,,765000
dalat,4300,90,1,,763857
dalat,1200,83,2,,762300
dalat,200,76,1,,757350
dalat,200,76,2,,757350
dalat,3000,31,2,15,756000
dalat,3000,81,2,15,756000
dalat,2000,31,1,,750000
dalat,2300,100,1,,750000
dalat,1000,86,1,20,750000
dalat,900,80,1,79,750000
dalat,900,80,1,79,750000
dalat,2000,37,2,,750000
dalat,1000,40,2,20,750000
dalat,900,80,2,79,750000
dalat,900,80,2,79,750000
dalat,2100,90,1,,748000
dalat,400,47,2,10,748000
dalat,700,91,1,,745875
dalat,700,91,2,,745875
dalat,4200,63,1,50,741000
dalat,4200,80,1,50,741000
dalat,2100,78,1,130,735300
dalat,2100,78,1,130,735300
dalat,250,46,1,,729000
dalat,250,36,2,,729000
dalat,1500,87,2,,722925
dalat,400,94,1,,720900
dalat,400,94,2,,720900
dalat,3900,91,1,,720252
dalat,3900,91,2,,720252
dalat,3400,97,1,,720100
dalat,2800,88,1,30,720000
dalat,2800,88,1,30,720000
dalat,3000,100,1,,720000
dalat,1300,96,1,,720000
dalat,3000,100,1,,720000
dalat,2800,88,2,30,720000
dalat,2200,80,2,26,720000
dalat,2100,90,2,,720000
dalat,1900,72,2,,720000
dalat,2800,88,2,30,720000
dalat,1300,96,2,,720000
dalat,1900,89,2,,720000
dalat,1500,100,2,,715000
dalat,1500,90,1,,711000
dalat,1500,90,2,,711000
dalat,3000,45,1,15,702000
dalat,3000,86,1,15,702000
dalat,900,83,1,20,700000
dalat,1000,93,1,,700000
dalat,600,93,1,,700000
dalat,1200,85,2,,700000
dalat,300,76,2,,700000
dalat,900,83,2,20,700000
